ticker,set,model_mape_pct,model_rmse_lr,baseline_mape_pct,baseline_rmse_lr,mape_improvement_pct,blend,c_mu5,c_mu20,c_wsig_vol,c_rsi_vol,c_rev20
AAPL,valid,0.9462739799076232,0.012802374702802393,0.9419359601955791,0.01285840905812073,-0.004338019712044061,0.35,1.5,0.25,0.0,0.0,1.0
AAPL,test,1.160778734093686,0.015768429271419346,1.1686904082147442,0.0158454828418866,0.00791167412105831,0.35,1.5,0.25,0.0,0.0,1.0
MSFT,valid,0.9808267286521397,0.012776012195800275,0.9880406948549624,0.01279885493635772,0.007213966202822664,0.7,1.0,0.5,0.0,0.0,0.0
MSFT,test,1.5177465063241509,0.024190383100000594,1.490962898037325,0.02389320248616581,-0.0267836082868258,0.7,1.0,0.5,0.0,0.0,0.0
AMZN,valid,1.5375447089649998,0.021701568557243325,1.5403221550093855,0.021071895686762758,0.0027774460443856785,1.0,1.5,0.25,1.0,1.0,1.0
AMZN,test,1.5145338083400348,0.020046864656630033,1.4763572675332908,0.02016856025566844,-0.03817654080674404,1.0,1.5,0.25,1.0,1.0,1.0
GOOGL,valid,1.6036239817608071,0.02060489054418685,1.6100436158521105,0.02057892344321499,0.006419634091303417,0.35,1.0,0.25,1.5,0.0,0.5
GOOGL,test,1.0903785813726121,0.013966699371415018,1.0960879778248456,0.014099202514908076,0.005709396452233451,0.35,1.0,0.25,1.5,0.0,0.5
META,valid,1.4900641387998406,0.02267727540559247,1.522018720075687,0.02295221711649111,0.03195458127584638,0.7,0.25,1.0,0.0,1.0,0.0
META,test,1.5546606239300074,0.021391390632567477,1.4917029212364545,0.020952062847018706,-0.06295770269355283,0.7,0.25,1.0,0.0,1.0,0.0
NVDA,valid,1.9436762280523778,0.025498722311381283,1.9436762280523778,0.025498722311381283,0.0,0.0,0.25,0.25,0.0,0.0,0.0
NVDA,test,1.624676653719028,0.02115035195035443,1.624676653719028,0.02115035195035443,0.0,0.0,0.25,0.25,0.0,0.0,0.0
TSLA,valid,2.352265716654157,0.02932949972321715,2.3050081191562413,0.028605685187005507,-0.04725759749791569,1.0,0.25,0.25,2.0,0.0,1.0
TSLA,test,1.9978118008717918,0.02441898311613867,1.942405328971963,0.023725888163309655,-0.055406471899828835,1.0,0.25,0.25,2.0,0.0,1.0
