ticker,date,close,ema8,ema20,rsi14
AAPL,2026-02-20 09:30:00,263.60999,263.60999,263.60999,
AAPL,2026-02-20 13:30:00,264.59,263.82777,263.70332428571425,
AAPL,2026-02-23 09:30:00,269.33499,265.0515966666667,264.2396734013605,
AAPL,2026-02-23 13:30:00,266.39001,265.3490218518519,264.4444673631357,
AAPL,2026-02-24 09:30:00,271.595,266.7370169958848,265.1254704714085,
AAPL,2026-02-24 13:30:00,272.17001,267.94434877457707,265.796378997941,
AAPL,2026-02-25 09:30:00,274.35001,269.3678290468933,266.61101052194664,
AAPL,2026-02-25 13:30:00,274.17999,270.4371981475837,267.3318657103327,
AAPL,2026-02-26 09:30:00,271.39001,270.6489341147873,267.71835564268196,
AAPL,2026-02-26 13:30:00,272.98999,271.1691687559457,268.22041605766464,
MSFT,2026-02-20 09:30:00,396.98499,396.98499,396.98499,
MSFT,2026-02-20 13:30:00,397.25,397.0438811111111,397.010229047619,
MSFT,2026-02-23 09:30:00,386.785,394.7641297530864,396.03639770975053,
MSFT,2026-02-23 13:30:00,384.51999,392.48765425240055,394.9395969754886,
MSFT,2026-02-24 09:30:00,386.39999,391.1348399740893,394.1263010730611,
MSFT,2026-02-24 13:30:00,389.0,390.66043109095835,393.63808192324575,
MSFT,2026-02-25 09:30:00,398.73499,392.45477751518985,394.12350174007946,
MSFT,2026-02-25 13:30:00,400.48999,394.2403802895921,394.72983395530997,
MSFT,2026-02-26 09:30:00,400.17001,395.55807578079384,395.24794595956615,
MSFT,2026-02-26 13:30:00,401.81,396.94739227395075,395.8729034872265,
AMZN,2026-02-20 09:30:00,209.21001,209.21001,209.21001,
AMZN,2026-02-20 13:30:00,210.17999,209.4255611111111,209.30238904761904,
AMZN,2026-02-23 09:30:00,204.42999,208.31543419753086,208.8383510430839,
AMZN,2026-02-23 13:30:00,205.28999,207.64311326474623,208.50041189612352,
AMZN,2026-02-24 09:30:00,209.44,208.04242142813595,208.58989647744508,
AMZN,2026-02-24 13:30:00,208.55499,208.15632555521685,208.58657205102173,
AMZN,2026-02-25 09:30:00,209.16,208.37936432072422,208.6411842366387,
AMZN,2026-02-25 13:30:00,210.66,208.8861722494522,208.83345240457788,
AMZN,2026-02-26 09:30:00,205.53999,208.14257619401837,208.5197893184276,
AMZN,2026-02-26 13:30:00,207.91,208.0908925953476,208.46171414524403,
GOOGL,2026-02-20 09:30:00,314.38,314.38,314.38,
GOOGL,2026-02-20 13:30:00,315.0,314.5177777777778,314.43904761904764,
GOOGL,2026-02-23 09:30:00,314.54999,314.5249360493827,314.4496135600907,
GOOGL,2026-02-23 13:30:00,311.51001,313.8549524828532,314.16965131627256,
GOOGL,2026-02-24 09:30:00,310.78009,313.1716497088858,313.846835952818,
GOOGL,2026-02-24 13:30:00,310.88,312.6623942180223,313.5642801477877,
GOOGL,2026-02-25 09:30:00,310.42999,312.1663043917951,313.2657763241889,
GOOGL,2026-02-25 13:30:00,313.0,312.3515700825073,313.2404642933138,
GOOGL,2026-02-26 09:30:00,304.88,310.69122117528343,312.44422959871247,
GOOGL,2026-02-26 13:30:00,307.44,309.968727580776,311.967636303597,
META,2026-02-20 09:30:00,655.44,655.44,655.44,
META,2026-02-20 13:30:00,655.60999,655.4777755555556,655.4561895238096,
META,2026-02-23 09:30:00,643.59003,652.8360543209877,654.3260790929706,
META,2026-02-23 13:30:00,637.31,649.3858200274349,652.7055001317353,
META,2026-02-24 09:30:00,638.95001,647.0667511324493,651.3954534525225,
META,2026-02-24 13:30:00,639.049988,645.2852482141273,650.2196948379965,
META,2026-02-25 09:30:00,649.46997,646.2151863887656,650.148292472473,
META,2026-02-25 13:30:00,653.78003,647.8962627468177,650.4941722369994,
META,2026-02-26 09:30:00,653.65997,649.1770865808583,650.7956767858566,
META,2026-02-26 13:30:00,657.01001,650.9177362295565,651.3875180443464,
NVDA,2026-02-20 09:30:00,188.67999,188.67999,188.67999,
NVDA,2026-02-20 13:30:00,189.83,188.93554777777777,188.78951476190477,
NVDA,2026-02-23 09:30:00,191.46001,189.49653938271604,189.04384764172337,
NVDA,2026-02-23 13:30:00,191.61,189.96619729766803,189.28824310441638,
NVDA,2026-02-24 09:30:00,192.94009,190.6270623426307,189.63603804685292,
NVDA,2026-02-24 13:30:00,192.87,191.1254929331572,189.9440344233431,
NVDA,2026-02-25 09:30:00,196.7299,192.37091672578893,190.59030733540567,
NVDA,2026-02-25 13:30:00,195.88,193.15071300894695,191.09408758917655,
NVDA,2026-02-26 09:30:00,185.355,191.41833234029207,190.5475078187788,
NVDA,2026-02-26 13:30:00,184.89999,189.96981182022716,190.00964897889511,
TSLA,2026-02-20 09:30:00,409.35999,409.35999,409.35999,
TSLA,2026-02-20 13:30:00,411.70999,409.8822122222222,409.5837995238095,
TSLA,2026-02-23 09:30:00,396.040009,406.8061670617284,408.29391471201814,
TSLA,2026-02-23 13:30:00,399.85001,405.2603543813443,407.48973331087353,
TSLA,2026-02-24 09:30:00,405.3299,405.2758089632678,407.28403490031417,
TSLA,2026-02-24 13:30:00,409.35999,406.1834047492083,407.48174490980807,
TSLA,2026-02-25 09:30:00,415.13,408.171537027162,408.210150156493,
TSLA,2026-02-25 13:30:00,417.39001,410.2200865766816,409.0844225225413,
TSLA,2026-02-26 09:30:00,405.20999,409.10673178186346,408.7154289489659,
TSLA,2026-02-26 13:30:00,408.48001,408.9674602747827,408.69300809668346,
